"","state","retail_and_recreation","grocery_and_pharmacy","parks","workplaces"
"1","Alabama",0.184183462857211,-1.75286790082805,0.537205190712788,-2.84050682276239
"2","Alaska",-0.271304178577273,0.210583766022853,-0.018998466857688,0.0623897181745553
"3","Arizona",4.73451601956278,-5.96794916840703,-1.88549965200738,2.74891424118408
"4","Arkansas",-3.40946263752418,3.68003457088568,0.201162777235932,-3.50745541454693
"5","California",-47.2219467404522,27.1014349072598,-9.02989030168016,-21.8197204596732
"6","Colorado",-8.26488996101981,3.49407316406462,-0.89009677543571,2.2432096296455
"7","Connecticut",-41.1785271401824,22.1865134194044,1.83818704887401,-21.9284708665181
"8","Delaware",0.830856360241698,-1.89799085854549,-0.896692268224,-3.06607918101705
"9","District of Columbia",-9.78862807304379,1.9788792993573,0.659228669038492,-1.07210197586548
"10","Florida",-27.7500350224175,9.0468289153309,7.19533862368324,24.4002622570549
"11","Georgia",-11.3853613826265,6.20934609854711,1.08700691267704,-2.35142226362915
"12","Hawaii",0.931104730602596,-0.0624558638140811,-0.135181023540266,0.864691510224654
"13","Idaho",-2.85633900685786,3.56515502562538,0.10834839078012,3.75038294784947
"14","Illinois",64.5415200771027,-40.1792874853863,1.54484677801443,30.1990338980386
"15","Indiana",9.10814292109761,-9.76377177110427,0.364951042940573,5.83779199262815
"16","Iowa",1.02027616808305,-4.05613038547794,0.607155705943123,0.471166011386529
"17","Kansas",9.05322505024239,-9.33322030132221,-0.164832402099664,2.76612531102628
"18","Kentucky",-4.89493823609235,-1.53009298926424,0.683027170397635,-2.63289078685943
"19","Louisiana",-62.7248286004264,29.5765788921479,30.9312221332642,54.9646645085511
"20","Maine",0.12628578913201,-0.0210314548951483,-0.0815291797083475,0.453887175855067
"21","Maryland",-32.9810427120774,11.8590792178092,0.725384961141431,-3.95787713827184
"22","Massachusetts",-96.8737558431808,33.8293388577531,5.30026482986439,-13.9432809681024
"23","Michigan",-38.8595480213572,31.8894913641154,-0.466644967920205,-4.23475363945458
"24","Minnesota",0.839279808828769,2.59067382278096,-0.478527477145417,-7.73610726560377
"25","Mississippi",-0.798206873526152,1.16987504839624,-1.42985152358294,-2.14803807586315
"26","Missouri",-1.62294678085037,-0.0148032531191274,0.820083061115993,3.1535048376939
"27","Montana",0.0329655170961641,0.121603087822257,-0.0547563492351791,0.804247615122465
"28","Nebraska",12.0657837936117,-10.2017833776121,-0.389483667678182,1.99504054022438
"29","Nevada",-2.9052534880185,2.91547332147183,-1.19103578072127,1.81472874807561
"30","New Hampshire",5.18555408701939,-3.02230634608998,-0.172912457549705,1.90159302930541
"31","New Jersey",9.38313485050212,3.46410376501529,0.389037632808274,4.82430111153901
"32","New Mexico",3.53572740331336,-2.03475293680618,-0.949033192455873,-0.856691106874248
"33","New York",198.662765636867,-93.9170715862729,-17.6118686598698,111.247741584514
"34","North Carolina",-2.57855076990309,-3.41286924003479,0.245550217661346,1.29882040179002
"35","North Dakota",0.512670016020636,-0.738664551417537,-0.192270132230219,-0.056995705264218
"36","Ohio",2.9761525580891,-1.51757524520137,1.93183970090804,-4.51417283286706
"37","Oklahoma",0.849468909372095,0.851826066517463,-0.151068136151355,1.72688501107119
"38","Oregon",0.791658160473538,-0.350951645089021,-0.0687296619196003,0.693153789779191
"39","Pennsylvania",-20.225492602758,5.20108677856869,0.585003266540677,9.15171520010598
"40","Rhode Island",-11.201938527473,4.29241522141933,0.336296335601338,-8.78464194213938
"41","South Carolina",0.672640459097249,-8.04836087054405,1.24798235140255,1.67102294125255
"42","South Dakota",-3.87276265488461,1.90883942275205,0.282820706365069,-2.10677457189901
"43","Tennessee",7.39004786245336,-10.6878900661571,-2.03771247215856,9.16650294060315
"44","Texas",3.6757518078908,-15.7177116347042,0.0591368452792183,8.88499491321462
"45","Utah",0.639103567891153,-2.04589718332726,0.341035483123718,1.30359920147826
"46","Vermont",1.88230279832639,-1.3400580565654,-0.147321971670245,1.6854112779962
"47","Virginia",1.96785892701116,-23.7931675894419,-0.296669829382169,1.28232950235765
"48","Washington",-17.5790456013523,18.5310101598115,0.0080602500303841,-2.17949231240451
"49","West Virginia",-0.833685798049728,0.223607639507216,0.127791034448638,-0.656890935954838
"50","Wisconsin",0.657528764269505,-0.511738855370258,0.318815854321221,2.97474591941459
"51","Wyoming",-0.399138111519414,0.225677209651861,-0.0287614973860242,-0.0050837110296206
